Index,Name,Detector,Order,EtaMin1,EtaMax1,EtaMin2,EtaMax2,minTransverse,maxTransverse,ResCalcType,MomConsWeight,ResCoreMate1,ResCorMate2,
int,string,enum,int,double,double,double,double,double,double,string,string,enum,enum,
0,HFm1,HF,1,-5,-3,0,0,0.005,30.0,3sub,no,HFp1,trackmid1,
1,HFp1,HF,1,3,5,0,0,0.005,30.0,3sub,no,HFm1,trackmid1,
2,trackmid1,Tracker,1,-0.8,0.8,0,0,0.3,3.0,3sub,no,HFm1,HFp1,
3,trackm1,Tracker,1,-0.5,0.0,0,0,0.3,3.0,3sub,no,HFp1,HFm1,
4,trackp1,Tracker,1,0.0,0.5,0,0,0.3,3.0,3sub,no,HFp1,HFm1,
5,trackm122,Tracker,1,-2.40,-2.00,0.00,0.00,0.30,3.00,3sub,no,HFm1,HFp1,
6,trackm118,Tracker,1,-2.00,-1.60,0.00,0.00,0.30,3.00,3sub,no,HFm1,HFp1,
7,trackm114,Tracker,1,-1.60,-1.20,0.00,0.00,0.30,3.00,3sub,no,HFm1,HFp1,
8,trackm110,Tracker,1,-1.20,-0.80,0.00,0.00,0.30,3.00,3sub,no,HFm1,HFp1,
9,trackm106,Tracker,1,-0.80,-0.40,0.00,0.00,0.30,3.00,3sub,no,HFm1,HFp1,
10,trackm102,Tracker,1,-0.40,0.00,0.00,0.00,0.30,3.00,3sub,no,HFm1,HFp1,
11,trackp102,Tracker,1,0.00,0.40,0.00,0.00,0.30,3.00,3sub,no,HFm1,HFp1,
12,trackp106,Tracker,1,0.40,0.80,0.00,0.00,0.30,3.00,3sub,no,HFm1,HFp1,
13,trackp110,Tracker,1,0.80,1.20,0.00,0.00,0.30,3.00,3sub,no,HFm1,HFp1,
14,trackp114,Tracker,1,1.20,1.60,0.00,0.00,0.30,3.00,3sub,no,HFm1,HFp1,
15,trackp118,Tracker,1,1.60,2.00,0.00,0.00,0.30,3.00,3sub,no,HFm1,HFp1,
16,trackp122,Tracker,1,2.00,2.40,0.00,0.00,0.30,3.00,3sub,no,HFm1,HFp1,
17,trackmid1mc,Tracker,1,-0.8,0.8,0,0,0.3,3.0,3sub,yes,trackm122mc,trackp122mc,
18,trackm1mc,Tracker,1,-0.5,0.0,0,0,0.3,3.0,3sub,yes,trackm122mc,trackp122mc,
19,trackp1mc,Tracker,1,0.0,0.5,0,0,0.3,3.0,3sub,yes,trackm122mc,trackp122mc,
20,trackm122mc,Tracker,1,-2.40,-2.00,0.00,0.00,0.30,3.00,3sub,yes,trackp1mc,trackp122mc,
21,trackm118mc,Tracker,1,-2.00,-1.60,0.00,0.00,0.30,3.00,3sub,yes,trackp1mc,trackp122mc,
22,trackm114mc,Tracker,1,-1.60,-1.20,0.00,0.00,0.30,3.00,3sub,yes,trackp1mc,trackp122mc,
